Exposure Amount ($);Credit Score;Loan Term (Months);Interest Rate (%);Income ($);Loan to Value Ratio (%);Debt to Income Ratio (%);Employment History (Years);Previous Defaults;Home Ownership;Loan Purpose;Loan Type;Region;LGD%
208411;740;72;7,15;39684;69;21;4;2;Mortgage;Home Purchase;Fixed Rate;North;0,327084463
153727;669;48;7,58;62070;86;32;5;1;Mortgage;Auto Loan;Fixed Rate;East;0,346165605
154709;744;60;6,22;67353;70;25;8;0;Mortgage;Home Purchase;Fixed Rate;East;0,420983912
114120;735;48;6,34;51432;77;26;2;0;Own;Personal Loan;Fixed Rate;North;0,009998247
191401;791;36;5,11;41468;89;28;4;2;Rent;Home Improvement;Adjustable Rate;East;0,454193029
67089;759;48;5,27;71858;55;29;5;1;Own;Auto Loan;Fixed Rate;North;0,102922983
182152;675;24;4,82;81750;57;14;3;0;Own;Home Purchase;Fixed Rate;North;0,010002635
156840;641;72;5,02;74529;77;48;5;2;Rent;Home Purchase;Fixed Rate;West;0,673112726
185247;692;60;6,67;26018;79;41;8;0;Own;Home Improvement;Adjustable Rate;South;0,009997463
152857;652;24;5,67;53474;82;23;4;1;Mortgage;Home Purchase;Fixed Rate;West;0,010002813
208156;717;72;6,53;77498;79;24;5;1;Rent;Home Improvement;Adjustable Rate;East;0,677463057
181483;742;48;5,65;47746;65;31;5;1;Mortgage;Auto Loan;Fixed Rate;North;0,051200388
146764;642;48;7,91;28686;73;23;5;2;Rent;Personal Loan;Adjustable Rate;East;0,010002453
86016;716;72;5,24;47014;89;28;9;0;Own;Home Purchase;Adjustable Rate;South;0,32648577
120524;748;72;8,65;65928;94;23;8;1;Own;Personal Loan;Adjustable Rate;East;1
193054;639;60;9,6;54964;79;34;6;0;Rent;Home Purchase;Adjustable Rate;North;0,158592933
168719;672;60;5,97;39625;91;22;6;2;Mortgage;Personal Loan;Fixed Rate;East;0,101725354
109640;685;24;5,8;74547;76;41;4;2;Mortgage;Auto Loan;Fixed Rate;North;0,1745166
215306;694;24;5,67;73903;75;24;7;1;Own;Home Improvement;Adjustable Rate;West;0,119039878
105983;688;48;3,34;53308;65;20;2;0;Mortgage;Auto Loan;Adjustable Rate;North;0,010001604
149604;654;24;5,66;82327;72;34;4;1;Rent;Personal Loan;Fixed Rate;South;0,009999733
121831;698;24;8,23;78333;78;36;6;0;Mortgage;Home Improvement;Adjustable Rate;East;0,200589341
169560;702;48;7,01;79922;105;38;4;0;Rent;Home Purchase;Adjustable Rate;West;0,78138712
140919;674;48;4,44;38184;80;35;3;2;Mortgage;Debt Consolidation;Adjustable Rate;South;0,009998652
142024;685;72;5,12;89873;71;39;2;0;Rent;Home Purchase;Fixed Rate;South;0,468906664
108390;648;60;7,94;67416;91;30;2;2;Mortgage;Home Improvement;Adjustable Rate;North;0,314982932
164823;674;48;5,07;60641;70;19;4;2;Rent;Personal Loan;Fixed Rate;East;0,009998605
196149;697;60;4,63;44635;90;25;6;2;Own;Debt Consolidation;Adjustable Rate;North;0,265716369
223508;749;60;6,19;98203;59;34;5;2;Mortgage;Personal Loan;Adjustable Rate;North;0,930449917
183682;722;24;7,96;97033;79;37;6;0;Mortgage;Home Improvement;Fixed Rate;West;0,665759301
177663;692;36;8,89;44964;75;16;5;1;Own;Personal Loan;Adjustable Rate;West;0,010002083
144463;718;24;7,32;69234;74;25;7;0;Mortgage;Debt Consolidation;Adjustable Rate;South;0,010002561
236468;620;48;5,92;82878;82;29;3;1;Own;Home Improvement;Fixed Rate;North;0,010001353
124232;776;60;5,65;63516;69;13;8;2;Rent;Home Improvement;Adjustable Rate;West;0,558696632
116181;730;72;6,28;74296;76;27;8;1;Mortgage;Debt Consolidation;Adjustable Rate;North;0,80007058
161707;740;36;6,49;39302;79;29;5;2;Rent;Personal Loan;Adjustable Rate;South;0,268275337
124730;575;24;6,77;72081;98;39;4;0;Rent;Personal Loan;Adjustable Rate;North;0,009997595
142572;743;36;8,22;48831;83;47;4;1;Rent;Auto Loan;Fixed Rate;East;0,659547457
210196;669;36;7,28;75259;87;38;5;2;Mortgage;Home Purchase;Fixed Rate;South;0,678366858
171651;681;60;4,97;57899;103;36;6;2;Own;Debt Consolidation;Fixed Rate;North;0,961299381
233365;630;60;8,88;44088;85;58;4;2;Mortgage;Home Improvement;Adjustable Rate;West;0,841891458
168993;765;24;7,79;78409;91;26;6;0;Rent;Home Purchase;Fixed Rate;East;0,643594705
179971;662;72;5,29;70881;85;42;3;1;Rent;Home Purchase;Fixed Rate;East;0,614537898
131523;672;36;5,97;82545;78;28;3;0;Mortgage;Personal Loan;Adjustable Rate;North;0,009998251
180452;785;60;8,19;77817;80;59;7;0;Own;Debt Consolidation;Adjustable Rate;North;1
55714;798;24;9,69;76907;76;36;5;0;Mortgage;Auto Loan;Fixed Rate;West;0,66983164
201787;731;36;5,28;46863;94;17;3;0;Own;Personal Loan;Adjustable Rate;South;0,010000644
117952;664;72;7,32;49031;94;37;7;2;Rent;Auto Loan;Adjustable Rate;South;0,805819316
175409;781;72;7,52;67956;92;35;8;2;Rent;Auto Loan;Adjustable Rate;West;1
191681;721;36;6,88;44765;72;45;3;0;Mortgage;Home Improvement;Fixed Rate;West;0,010000991
162321;714;48;5,78;79276;96;31;3;2;Own;Debt Consolidation;Fixed Rate;North;0,860640336
159461;652;24;8,14;73734;94;26;3;1;Rent;Home Improvement;Adjustable Rate;East;0,010002446
71131;756;36;6,07;45394;95;20;3;0;Own;Debt Consolidation;Adjustable Rate;East;0,009995642
188178;733;48;8,23;43246;75;31;8;0;Rent;Debt Consolidation;Fixed Rate;North;0,228708988
233552;690;60;7,42;52320;79;32;5;0;Rent;Debt Consolidation;Adjustable Rate;West;0,153875796
131382;677;48;4,16;45032;67;51;5;1;Rent;Debt Consolidation;Fixed Rate;South;0,01000137
145324;646;72;7,78;75654;88;37;3;0;Mortgage;Auto Loan;Fixed Rate;North;0,365417963
170023;774;60;4,67;61401;66;18;3;1;Own;Personal Loan;Adjustable Rate;West;0,150044406
232582;670;60;7,55;59404;101;24;1;0;Own;Auto Loan;Adjustable Rate;South;0,120108177
148804;730;36;6,58;17292;95;37;7;1;Mortgage;Home Purchase;Adjustable Rate;East;0,177858122
217301;718;48;6,01;56845;66;29;4;2;Own;Personal Loan;Fixed Rate;East;0,205677839
147219;701;36;5,3;29481;74;31;6;0;Mortgage;Personal Loan;Fixed Rate;North;0,009998709
185074;635;24;5,3;70123;81;28;1;0;Mortgage;Home Improvement;Adjustable Rate;East;0,010001405
92950;732;24;6,83;56687;77;39;5;1;Own;Personal Loan;Fixed Rate;East;0,150511027
50753;709;72;3,66;55732;82;34;6;0;Own;Personal Loan;Fixed Rate;North;0,123697121
189316;700;48;8,03;41186;55;25;6;2;Rent;Home Improvement;Adjustable Rate;East;0,009999155
155203;608;72;7,74;57442;74;36;9;1;Rent;Auto Loan;Adjustable Rate;West;0,17908159
124434;743;36;4,68;45562;75;29;7;2;Own;Personal Loan;Fixed Rate;South;0,192093801
119260;769;72;5,84;62749;97;42;5;1;Rent;Debt Consolidation;Adjustable Rate;East;1
143328;737;24;5,37;80555;85;36;3;2;Mortgage;Home Improvement;Adjustable Rate;East;0,560860404
107111;706;36;6,99;76444;69;20;3;2;Own;Auto Loan;Adjustable Rate;East;0,031584058
65517;736;24;7,63;-1032;79;18;3;1;Own;Personal Loan;Adjustable Rate;South;0,009997405
151517;688;60;5,6;45140;85;25;2;0;Mortgage;Debt Consolidation;Adjustable Rate;North;0,009998878
201747;722;36;5,9;63047;75;29;5;0;Own;Home Purchase;Adjustable Rate;South;0,040312867
80562;655;24;5,25;56989;78;19;5;2;Rent;Home Improvement;Fixed Rate;West;0,010004717
222326;753;36;4,06;62938;75;43;6;0;Mortgage;Home Improvement;Adjustable Rate;North;0,582158632
222311;742;36;5,67;52744;77;30;3;2;Rent;Debt Consolidation;Fixed Rate;West;0,317339223
198478;733;60;3,82;33842;71;33;4;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,010001108
101020;735;24;5,93;60084;84;26;6;1;Own;Home Improvement;Adjustable Rate;East;0,074133835
202996;659;36;3,32;86498;92;18;5;1;Mortgage;Personal Loan;Adjustable Rate;North;0,025414294
130910;720;24;5,63;60912;77;29;4;1;Rent;Debt Consolidation;Adjustable Rate;North;0,009999236
178629;710;48;4,51;75025;82;25;9;1;Rent;Home Improvement;Fixed Rate;West;0,341792206
95956;674;72;7,46;24907;86;28;7;1;Rent;Home Purchase;Adjustable Rate;West;0,079515611
184968;696;60;8,34;75444;83;39;4;0;Rent;Personal Loan;Fixed Rate;South;0,644906146
152924;666;24;5,21;61219;69;26;5;2;Mortgage;Home Improvement;Adjustable Rate;North;0,009998431
124237;600;60;5,35;33421;58;37;3;1;Own;Home Improvement;Adjustable Rate;North;0,009997022
131132;693;48;5,59;23644;90;31;5;2;Mortgage;Home Improvement;Adjustable Rate;North;0,00999756
103842;653;72;5,96;50850;72;20;6;1;Mortgage;Auto Loan;Adjustable Rate;North;0,009995955
146964;698;48;7,84;65732;67;32;7;1;Rent;Auto Loan;Fixed Rate;East;0,366069241
272776;683;48;6,36;44898;82;39;7;2;Mortgage;Auto Loan;Fixed Rate;North;0,448701499
39610;674;72;6,64;45329;78;55;7;1;Mortgage;Personal Loan;Adjustable Rate;East;0,540823024
225256;772;60;7,96;83298;103;33;9;0;Rent;Home Improvement;Adjustable Rate;North;1
88698;558;24;9,96;62963;75;36;5;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,010000225
138352;693;36;4,83;60096;81;23;5;2;Own;Auto Loan;Adjustable Rate;West;0,010003469
88166;609;48;6,75;82576;84;27;7;1;Mortgage;Personal Loan;Adjustable Rate;West;0,010003856
133852;627;36;6,41;20175;61;36;7;0;Mortgage;Home Improvement;Fixed Rate;North;0,010003586
79023;726;72;5,66;86624;81;39;5;1;Mortgage;Home Improvement;Adjustable Rate;East;0,989294256
140842;633;72;5,24;62609;74;36;5;1;Rent;Home Purchase;Adjustable Rate;East;0,074856932
239531;753;36;8,28;36314;71;22;6;1;Rent;Auto Loan;Adjustable Rate;West;0,009998706
161478;735;72;7,65;63049;86;50;7;2;Rent;Debt Consolidation;Fixed Rate;West;1
160898;749;48;4,98;84285;84;41;3;1;Mortgage;Auto Loan;Adjustable Rate;North;0,81246504
167358;704;72;3,82;72063;98;17;5;0;Mortgage;Home Improvement;Adjustable Rate;East;0,316776013
161570;690;24;4,79;83590;74;31;5;0;Own;Personal Loan;Adjustable Rate;West;0,010001857
146954;692;36;7,88;88575;87;37;6;2;Own;Auto Loan;Fixed Rate;North;0,864726377
144607;690;24;5,27;55566;91;39;1;1;Rent;Home Improvement;Adjustable Rate;South;0,009999516
173325;658;60;6,99;60328;66;27;3;2;Rent;Personal Loan;Fixed Rate;South;0,009998558
206220;643;48;6,17;84407;89;28;7;1;Rent;Auto Loan;Fixed Rate;West;0,297614198
195875;669;24;5,65;44620;76;27;5;0;Mortgage;Personal Loan;Adjustable Rate;North;0,010001276
160469;716;48;6,39;82639;84;38;7;2;Rent;Home Improvement;Adjustable Rate;West;1
231950;679;24;7,5;64110;76;35;4;0;Rent;Auto Loan;Adjustable Rate;South;0,010002156
84021;655;60;8,55;60250;66;28;4;0;Mortgage;Personal Loan;Adjustable Rate;South;0,009997501
141598;672;24;10,02;54749;74;24;8;2;Mortgage;Debt Consolidation;Fixed Rate;East;0,010000141
124133;657;36;7,04;83182;82;19;4;1;Rent;Home Purchase;Adjustable Rate;West;0,009997342
181480;677;72;9,03;46489;83;26;7;0;Own;Home Purchase;Adjustable Rate;South;0,221341195
204647;705;72;7,96;44458;84;40;4;1;Own;Debt Consolidation;Adjustable Rate;North;0,745835512
74666;704;36;6,31;76097;79;18;6;2;Own;Personal Loan;Adjustable Rate;West;0,129416334
213413;713;36;7,06;48196;76;38;9;2;Rent;Personal Loan;Fixed Rate;West;0,576567501
131650;610;24;6,83;56338;72;26;2;2;Mortgage;Personal Loan;Fixed Rate;East;0,009996202
146857;805;60;6,09;55934;72;19;4;1;Rent;Debt Consolidation;Adjustable Rate;West;0,438664824
132057;685;36;6,24;79981;76;42;5;2;Own;Home Improvement;Fixed Rate;West;0,516602679
108489;730;24;6,76;50480;95;20;7;0;Mortgage;Home Improvement;Adjustable Rate;East;0,010001014
162712;668;48;6,59;59695;84;26;7;0;Own;Personal Loan;Fixed Rate;North;0,009999263
132291;714;60;6,48;72398;78;36;5;2;Rent;Debt Consolidation;Fixed Rate;South;0,812088502
192536;710;72;7,73;100890;83;14;3;1;Own;Home Purchase;Adjustable Rate;West;0,81952466
119019;653;60;5,11;33787;90;21;4;0;Rent;Home Purchase;Adjustable Rate;North;0,009998404
94962;705;48;6,1;57328;93;21;6;1;Own;Home Purchase;Adjustable Rate;West;0,167772372
175072;660;24;7,8;65056;78;34;6;1;Mortgage;Home Purchase;Fixed Rate;West;0,010001599
106967;733;72;3,04;75124;105;30;5;2;Rent;Home Purchase;Adjustable Rate;West;1
172493;776;24;6,65;40690;57;24;3;2;Mortgage;Home Improvement;Fixed Rate;East;0,010000406
160959;754;48;7,56;83104;69;50;6;2;Rent;Home Improvement;Fixed Rate;East;1
77371;677;48;8,55;45783;86;41;2;1;Mortgage;Home Purchase;Adjustable Rate;North;0,120885086
142133;742;60;5,62;53591;91;27;3;1;Rent;Home Purchase;Adjustable Rate;North;0,387587682
131648;770;48;3,59;67547;72;27;5;0;Mortgage;Auto Loan;Fixed Rate;East;0,176280688
209749;728;36;5,14;77027;82;12;3;0;Mortgage;Auto Loan;Adjustable Rate;South;0,009997664
213905;733;36;6,11;35135;74;10;8;1;Own;Personal Loan;Fixed Rate;South;0,009999766
131153;766;60;6,44;67882;86;30;7;0;Mortgage;Home Improvement;Adjustable Rate;North;0,83194437
105005;641;48;8,49;57801;88;41;5;2;Mortgage;Personal Loan;Fixed Rate;East;0,36660159
143348;702;48;4,26;53830;74;21;8;2;Rent;Auto Loan;Fixed Rate;South;0,043607166
44415;781;60;7,41;56834;94;31;7;2;Own;Personal Loan;Fixed Rate;East;1
130252;761;60;6,87;97234;87;34;7;2;Mortgage;Home Improvement;Fixed Rate;South;1
220717;761;48;7,34;42614;79;28;8;0;Rent;Debt Consolidation;Fixed Rate;West;0,401138109
150695;699;60;5,74;59040;70;19;8;2;Rent;Home Purchase;Adjustable Rate;North;0,293778825
252284;706;24;7,54;69742;89;43;7;2;Mortgage;Home Purchase;Adjustable Rate;East;0,848274167
61278;675;72;6,4;69768;63;12;4;1;Mortgage;Auto Loan;Adjustable Rate;South;0,01000359
149542;674;72;8,87;76252;64;24;6;0;Rent;Auto Loan;Adjustable Rate;North;0,137914432
15849;744;36;7,27;65707;72;43;4;1;Own;Home Purchase;Adjustable Rate;East;0,358066755
135849;727;60;7,12;33676;69;53;7;0;Own;Debt Consolidation;Adjustable Rate;North;0,329866249
179173;776;60;7,22;64553;77;25;2;2;Rent;Home Purchase;Adjustable Rate;South;0,872531018
267299;695;24;5,73;37201;69;17;3;0;Own;Personal Loan;Fixed Rate;South;0,010000037
103317;732;60;4,62;54808;90;35;5;1;Own;Debt Consolidation;Fixed Rate;South;0,482534336
97278;730;72;6,73;18898;82;10;4;2;Mortgage;Debt Consolidation;Adjustable Rate;South;0,010002262
199892;744;24;5,11;41686;91;35;7;2;Rent;Personal Loan;Fixed Rate;West;0,514022572
190684;697;24;4,53;67739;72;39;7;1;Mortgage;Personal Loan;Fixed Rate;South;0,165970926
193529;813;48;6,82;51773;72;23;4;2;Mortgage;Home Improvement;Fixed Rate;North;0,740545345
127547;832;48;4,44;85807;83;12;4;0;Rent;Personal Loan;Adjustable Rate;South;0,680572652
127699;675;48;4,82;96644;91;51;3;0;Own;Personal Loan;Fixed Rate;West;0,661602675
107904;643;24;6,19;44810;94;21;5;2;Mortgage;Auto Loan;Adjustable Rate;East;0,009999629
162923;767;48;6,95;62278;80;13;4;0;Own;Home Purchase;Adjustable Rate;East;0,152317352
162731;722;60;6,5;66575;76;24;5;0;Rent;Home Purchase;Adjustable Rate;East;0,229102015
154147;738;60;6,12;38349;77;31;8;1;Own;Debt Consolidation;Adjustable Rate;West;0,318812562
159862;785;24;8,94;62208;96;35;5;0;Own;Debt Consolidation;Adjustable Rate;East;0,833931766
36813;748;60;7,01;34865;75;25;6;1;Mortgage;Personal Loan;Fixed Rate;East;0,077173824
133501;657;60;9,68;49475;71;46;6;0;Mortgage;Debt Consolidation;Fixed Rate;East;0,134066411
53573;747;36;5,3;57564;85;34;5;2;Rent;Debt Consolidation;Fixed Rate;South;0,437253841
201351;725;24;4,58;79226;74;31;5;2;Rent;Personal Loan;Fixed Rate;East;0,317952233
72464;678;48;4,71;59933;95;12;9;1;Mortgage;Auto Loan;Adjustable Rate;West;0,010004968
126160;698;24;5,98;52760;63;35;8;0;Mortgage;Home Purchase;Adjustable Rate;North;0,010003171
169384;631;24;6,93;64997;70;26;7;0;Rent;Home Purchase;Adjustable Rate;North;0,010000945
199047;764;60;8;95109;102;49;5;0;Rent;Debt Consolidation;Adjustable Rate;West;1
117541;756;60;8,02;94968;63;23;5;1;Own;Personal Loan;Fixed Rate;North;0,828647025
160157;716;72;8,44;87547;81;36;5;2;Own;Home Improvement;Adjustable Rate;West;1
193067;757;72;6,6;76541;63;36;6;2;Rent;Auto Loan;Adjustable Rate;South;1
196397;683;24;6,04;63139;92;18;6;2;Own;Home Improvement;Fixed Rate;South;0,054955015
165830;718;48;6,11;46117;73;43;4;0;Mortgage;Home Improvement;Fixed Rate;North;0,009998191
167981;650;72;5,47;59175;92;18;2;1;Own;Home Improvement;Fixed Rate;West;0,010001131
152783;710;72;7,48;64645;80;14;3;1;Rent;Auto Loan;Fixed Rate;North;0,227492588
283023;644;36;5,68;60439;74;43;7;1;Mortgage;Debt Consolidation;Fixed Rate;East;0,11231596
132202;632;36;8,51;94518;77;34;7;0;Mortgage;Debt Consolidation;Adjustable Rate;South;0,11449146
109297;752;60;4,11;89030;67;33;5;1;Mortgage;Home Improvement;Adjustable Rate;East;0,631343953
213049;778;24;7,42;86497;80;28;3;0;Own;Personal Loan;Adjustable Rate;South;0,692249201
185048;674;60;6,76;80885;87;35;8;1;Mortgage;Personal Loan;Adjustable Rate;West;0,808714496
230117;757;72;6,76;58014;81;10;7;1;Rent;Home Improvement;Fixed Rate;West;0,698566381
65669;622;72;6,8;43801;78;24;3;1;Mortgage;Auto Loan;Adjustable Rate;North;0,010004721
132302;712;48;8,8;58304;75;46;6;2;Mortgage;Personal Loan;Fixed Rate;North;0,901135281
160267;682;72;4,54;31000;77;24;7;2;Rent;Personal Loan;Fixed Rate;West;0,010002059
144133;703;48;6,85;62976;57;22;5;1;Rent;Home Improvement;Adjustable Rate;East;0,00999771
154306;741;24;9,36;97720;71;51;2;1;Mortgage;Home Purchase;Adjustable Rate;West;0,987654401
-24477;782;36;4,78;61773;67;30;4;2;Mortgage;Home Purchase;Fixed Rate;North;0,161988806
125163;703;36;6,3;58847;94;32;0;1;Rent;Home Improvement;Adjustable Rate;South;0,010002956
149274;687;72;3,98;26597;78;19;4;0;Rent;Debt Consolidation;Fixed Rate;East;0,010001742
168722;616;72;6,9;69431;67;33;2;1;Mortgage;Debt Consolidation;Adjustable Rate;South;0,009998696
104123;782;72;9,03;69442;81;34;5;0;Own;Home Improvement;Adjustable Rate;North;1
77159;790;24;5,96;66574;109;40;6;1;Own;Auto Loan;Fixed Rate;North;1
189386;685;60;6,6;38951;80;37;6;2;Own;Home Purchase;Fixed Rate;West;0,41007783
184844;633;72;5,51;74098;74;41;3;0;Rent;Home Improvement;Fixed Rate;South;0,071671247
91697;749;24;3,86;64084;88;36;5;1;Mortgage;Debt Consolidation;Fixed Rate;West;0,262996608
223760;740;24;6,33;60946;75;29;6;0;Own;Home Purchase;Adjustable Rate;East;0,010001788
140308;708;36;5,47;51951;91;36;5;0;Own;Auto Loan;Adjustable Rate;West;0,00999943
148676;680;36;4,21;82584;77;34;2;2;Rent;Home Purchase;Adjustable Rate;North;0,132011892
83685;682;72;6,28;53456;72;36;6;1;Mortgage;Debt Consolidation;Fixed Rate;North;0,279225668
151189;740;48;8,44;55554;92;29;5;0;Mortgage;Personal Loan;Fixed Rate;North;0,549782061
29478;738;60;5,41;58225;84;33;5;1;Own;Personal Loan;Adjustable Rate;East;0,42309519
117614;652;72;4,63;47207;78;32;4;1;Rent;Home Improvement;Fixed Rate;East;0,00999881
175300;598;60;5,2;78567;97;28;2;1;Mortgage;Debt Consolidation;Fixed Rate;West;0,01
167554;662;24;5,78;58887;88;38;5;2;Own;Auto Loan;Fixed Rate;South;0,13010134
169376;699;24;6,3;50701;84;25;6;2;Own;Home Purchase;Fixed Rate;West;0,010001417
210936;692;24;6,27;45032;83;22;8;1;Own;Personal Loan;Adjustable Rate;South;0,009998293
137960;712;72;6,52;41223;93;25;2;2;Rent;Home Purchase;Adjustable Rate;East;0,422644245
180445;703;72;7,47;65195;98;36;4;2;Mortgage;Home Improvement;Adjustable Rate;North;1
133453;627;48;5,67;88394;69;19;0;2;Rent;Home Purchase;Fixed Rate;East;0,010003522
241634;741;72;6,34;58328;84;39;2;1;Rent;Home Improvement;Fixed Rate;West;0,928569655
161850;771;72;4,2;47007;90;35;6;1;Rent;Home Improvement;Fixed Rate;West;0,856898363
133589;668;60;3,8;56220;81;34;5;0;Mortgage;Auto Loan;Adjustable Rate;North;0,010000823
138626;641;24;3,86;54490;70;33;10;0;Own;Debt Consolidation;Adjustable Rate;South;0,009998124
139633;652;36;7,35;53020;88;37;2;1;Own;Home Improvement;Fixed Rate;West;0,009997637
95806;770;60;5,2;43423;71;23;10;1;Mortgage;Debt Consolidation;Adjustable Rate;East;0,329165188
40796;648;36;6,94;73056;100;14;6;0;Own;Auto Loan;Adjustable Rate;West;0,01000098
126682;791;24;3,63;87095;62;31;5;1;Rent;Auto Loan;Fixed Rate;North;0,298605958
251092;684;24;4,73;53030;79;31;3;1;Mortgage;Home Purchase;Adjustable Rate;North;0,010000319
197249;705;36;5,99;92198;75;21;6;0;Rent;Debt Consolidation;Fixed Rate;South;0,215585377
100105;677;72;5,86;69855;86;25;6;0;Mortgage;Home Purchase;Adjustable Rate;West;0,226891764
218312;680;72;7,51;56274;76;48;6;1;Rent;Home Improvement;Fixed Rate;South;0,712516948
235746;610;60;4,71;55336;89;32;4;0;Rent;Home Purchase;Adjustable Rate;South;0,009998049
136492;626;36;5,48;55058;72;26;3;1;Mortgage;Personal Loan;Adjustable Rate;North;0,010000586
107743;761;60;7,65;77166;83;31;3;0;Mortgage;Personal Loan;Fixed Rate;South;0,728362863
68476;766;72;6,94;93447;65;18;4;2;Own;Auto Loan;Adjustable Rate;North;0,892517086
110196;668;24;6,1;39413;84;31;5;1;Rent;Auto Loan;Fixed Rate;East;0,010000363
211385;683;24;9,68;66059;81;42;6;0;Mortgage;Auto Loan;Fixed Rate;East;0,309600965
60736;737;60;6,18;53253;85;18;5;1;Mortgage;Debt Consolidation;Fixed Rate;West;0,153994336
212404;690;72;6,34;64348;75;26;4;1;Mortgage;Personal Loan;Adjustable Rate;East;0,365991224
130091;676;48;7,49;41058;82;20;4;0;Own;Home Improvement;Fixed Rate;East;0,010000692
113165;592;48;6,02;62918;85;28;4;2;Own;Auto Loan;Adjustable Rate;East;0,010003093
129324;696;60;4,03;95568;72;19;4;2;Rent;Home Improvement;Fixed Rate;East;0,380579011
175395;665;60;6,32;81998;80;44;5;0;Rent;Auto Loan;Fixed Rate;North;0,538869409
154503;762;36;8,19;49660;72;24;4;2;Rent;Debt Consolidation;Fixed Rate;East;0,315560216
85045;690;36;5,55;43770;70;31;4;0;Rent;Auto Loan;Fixed Rate;West;0,009994709
115194;699;48;6,14;106129;80;23;5;1;Own;Home Purchase;Adjustable Rate;East;0,605908294
168902;705;24;8,28;103158;71;41;5;1;Rent;Debt Consolidation;Adjustable Rate;West;0,782015607
198098;835;48;8,61;30382;62;29;7;2;Mortgage;Personal Loan;Adjustable Rate;South;0,808428152
259090;713;60;6,89;60481;85;37;-1;2;Mortgage;Personal Loan;Fixed Rate;South;0,690694353
171185;657;60;6,66;70550;78;29;6;1;Rent;Home Purchase;Adjustable Rate;East;0,353062476
184201;704;24;6,53;62570;66;19;4;2;Rent;Personal Loan;Adjustable Rate;East;0,009999946
184925;747;48;7,38;41191;87;21;4;1;Mortgage;Auto Loan;Fixed Rate;North;0,184572124
137429;707;60;6,55;66188;86;20;8;1;Rent;Auto Loan;Fixed Rate;South;0,469791674
63531;706;60;4;69435;78;43;9;1;Own;Auto Loan;Fixed Rate;North;0,596622121
168339;642;60;7,88;58691;66;28;7;2;Own;Auto Loan;Fixed Rate;West;0,104182631
206626;729;60;4,58;72103;87;27;1;0;Own;Debt Consolidation;Adjustable Rate;West;0,236146468
188419;770;72;7,36;39758;80;27;3;1;Rent;Personal Loan;Fixed Rate;South;0,671508712
92351;782;24;8,11;68546;91;36;5;0;Mortgage;Home Purchase;Fixed Rate;North;0,690885859
171619;719;48;7,51;54575;65;27;4;1;Mortgage;Home Improvement;Fixed Rate;West;0,009998893
265759;634;36;4,92;48484;67;27;3;0;Mortgage;Personal Loan;Fixed Rate;West;0,010001543
165405;734;48;3,59;82302;71;30;6;2;Rent;Home Purchase;Fixed Rate;East;0,560406276
118755;656;24;5,94;78411;82;23;4;1;Mortgage;Home Improvement;Adjustable Rate;West;0,010003789
175239;694;36;4,37;40168;65;31;8;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,009997774
182490;696;60;5,52;41778;71;31;7;2;Mortgage;Home Purchase;Adjustable Rate;South;0,262797962
239894;705;36;7,82;63660;94;29;5;2;Own;Auto Loan;Adjustable Rate;West;0,65190876
169499;687;60;5,97;96291;83;41;4;2;Own;Home Improvement;Adjustable Rate;East;1
125011;686;36;5,61;91489;73;36;3;1;Rent;Home Purchase;Fixed Rate;North;0,288166641
142110;730;24;7,35;80582;83;38;3;2;Rent;Debt Consolidation;Adjustable Rate;West;0,681127296
51638;684;36;5,2;65015;81;24;6;1;Mortgage;Home Purchase;Fixed Rate;West;0,009992641
134120;661;48;3,01;39541;73;28;8;1;Mortgage;Debt Consolidation;Fixed Rate;South;0,009998509
145718;745;24;9,14;57195;73;24;6;0;Mortgage;Home Improvement;Adjustable Rate;East;0,034511865
104062;678;24;5,92;33625;75;35;7;1;Mortgage;Personal Loan;Fixed Rate;West;0,010003652
197315;724;24;5,55;59875;82;21;9;2;Own;Auto Loan;Adjustable Rate;South;0,197440641
140549;780;24;8,29;65945;73;37;6;1;Mortgage;Home Purchase;Fixed Rate;South;0,610648244
152630;664;48;6,78;55139;63;16;2;1;Rent;Home Purchase;Fixed Rate;West;0,009998034
188360;647;48;7,49;46195;60;17;6;0;Own;Home Purchase;Adjustable Rate;North;0,010002124
150261;721;36;7,35;22983;88;27;1;0;Mortgage;Home Improvement;Adjustable Rate;North;0,010002595
180499;685;48;4,52;46713;84;42;6;2;Mortgage;Personal Loan;Fixed Rate;South;0,35143685
177540;722;60;6,18;63040;77;22;7;1;Rent;Home Improvement;Fixed Rate;West;0,358516391
83216;715;60;7,22;88772;79;28;4;2;Own;Debt Consolidation;Adjustable Rate;West;0,829215535
205926;666;48;7,15;66464;51;28;8;1;Rent;Home Improvement;Adjustable Rate;North;0,009998737
95433;756;36;7,62;77340;61;39;5;2;Mortgage;Personal Loan;Fixed Rate;West;0,716617941
210457;726;48;8,92;96673;65;28;7;2;Rent;Auto Loan;Adjustable Rate;South;0,943655949
186999;736;24;4,51;53296;76;33;5;0;Own;Home Improvement;Adjustable Rate;East;0,010000053
155626;754;72;5,13;47944;68;43;6;1;Rent;Personal Loan;Adjustable Rate;West;0,726382481
45182;691;72;5,08;66108;88;29;10;1;Rent;Home Purchase;Fixed Rate;West;0,613363729
